The Barbecue Chicken Pizza,The Big Meat Pizza,The Brie Carre Pizza,The Calabrese Pizza,The California Chicken Pizza,The Chicken Alfredo Pizza,The Chicken Pesto Pizza,The Classic Deluxe Pizza,The Five Cheese Pizza,The Four Cheese Pizza,The Greek Pizza,The Green Garden Pizza,The Hawaiian Pizza,The Italian Capocollo Pizza,The Italian Supreme Pizza,The Italian Vegetables Pizza,The Mediterranean Pizza,The Mexicana Pizza,The Napolitana Pizza,The Pepper Salami Pizza,The Pepperoni Pizza,"The Pepperoni, Mushroom, and Peppers Pizza",The Prosciutto and Arugula Pizza,The Sicilian Pizza,The Soppressata Pizza,The Southwest Chicken Pizza,The Spicy Italian Pizza,The Spinach Pesto Pizza,The Spinach Supreme Pizza,The Spinach and Feta Pizza,The Thai Chicken Pizza,The Vegetables + Vegetables Pizza
7.0,5.0,1.0,3.0,7.0,3.0,3.0,8.0,4.0,6.0,4.0,3.0,7.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,8.0,4.0,5.0,6.0,3.0,6.0,6.0,3.0,3.0,5.0,7.0,4.0
6.0,5.0,1.0,3.0,6.0,3.0,2.0,7.0,3.0,6.0,5.0,3.0,7.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,7.0,3.0,4.0,6.0,3.0,5.0,5.0,3.0,2.0,3.0,6.0,4.0
5.0,4.0,2.0,2.0,5.0,2.0,3.0,6.0,3.0,4.0,3.0,2.0,6.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,6.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0
5.0,5.0,1.0,3.0,6.0,3.0,3.0,7.0,3.0,5.0,4.0,3.0,7.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,6.0,3.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,4.0,7.0,4.0
6.0,4.0,2.0,3.0,5.0,2.0,2.0,7.0,4.0,5.0,4.0,3.0,6.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,6.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,2.0,3.0,6.0,4.0
5.0,5.0,2.0,3.0,6.0,3.0,3.0,7.0,3.0,5.0,4.0,2.0,7.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,4.0,4.0,5.0,3.0,5.0,5.0,2.0,2.0,4.0,6.0,4.0
6.0,5.0,2.0,3.0,6.0,3.0,3.0,7.0,4.0,6.0,4.0,3.0,7.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,7.0,3.0,4.0,5.0,3.0,5.0,6.0,3.0,2.0,4.0,7.0,5.0
